attraction,address,rating,types,place_id,lat,lng,reviews,reviews_count
Hendy Woods State Park,"18599 Philo Greenwood Rd, Philo, CA 95466, USA",4.7,"['park', 'point_of_interest', 'establishment']",ChIJvWlAKu4SgYARPrm7n34kLGg,39.0698015,-123.4709108,,92
Anderson Valley,"California 95466, USA",0.0,"['natural_feature', 'establishment']",ChIJa8v27oYSgYARRA6kQu3ru5s,39.0865657,-123.4794542,,83
Goldeneye Winery,"9200 CA-128, Philo, CA 95466, USA",4.6,"['food', 'point_of_interest', 'establishment']",ChIJe36fOcxsgYARhSLZpX8XsYE,39.057784,-123.432641,,62
Husch Vineyards,"4400 CA-128, Philo, CA 95466, USA",4.8,"['food', 'point_of_interest', 'establishment']",ChIJKd9aBL4NgYARXYtSyDs7Tmo,39.1072827,-123.5019654,,45
Roederer Estate,"4501 CA-128, Philo, CA 95466, USA",4.9,"['food', 'point_of_interest', 'establishment']",ChIJRVPRl70NgYARSm2y6VcpOyQ,39.108426,-123.49712,,51
Toulouse Vineyards,"8001 CA-128, Philo, CA 95466, USA",5.0,"['food', 'point_of_interest', 'establishment']",ChIJz1l6itASgYARKTHzj3VEl8w,39.0696401,-123.4541108,,35
Scharffenberger Cellars,"8501 CA-128, Philo, CA 95466, USA",4.1,"['food', 'point_of_interest', 'establishment']",ChIJX3LvRCoTgYARTbSmHHpngaY,39.0669903,-123.4414763,,19
Phillips Hill Winery,"5101 CA-128, Philo, CA 95466, USA",4.4,"['food', 'point_of_interest', 'establishment']",ChIJ9Sd9ECsTgYARA2w7TmeUyrY,39.1030707,-123.4929616,,14
Greenwood Ridge Vineyards,"5501 CA-128, Philo, CA 95466, USA",4.0,"['food', 'point_of_interest', 'establishment']",ChIJFa83YYINgYARbReUzm9RCjM,39.0978796,-123.4843354,,11
Balo Vineyards,"9001 CA-128, Philo, CA 95466, USA",5.0,"['food', 'point_of_interest', 'establishment']",ChIJGwmd-81sgYARDjTfpjIBjvA,39.0605978,-123.4335399,,9
Philo Ridge Vineyards,"14125 CA-128, Boonville, CA 95415, USA",4.5,"['bar', 'food', 'point_of_interest', 'establishment']",ChIJXTylUDdqgYARWWFPK3YPqyE,39.0088361,-123.3666347,,5
Baxter Winery,"8660 CA-128, Philo, CA 95466, USA",5.0,"['food', 'point_of_interest', 'establishment']",ChIJl0VzFCsTgYAR3wUp0ruqEQ0,39.065395,-123.440471,,4
Smith Story Wine Cellars,"9000 CA-128, Philo, CA 95466, USA",4.8,"['food', 'point_of_interest', 'establishment']",ChIJE29Hyc1sgYARnSwBhlndnQs,39.05932749999999,-123.4338927,,2
Claudia Springs Winery,"1810 Highway 128, MileMarker 16, Philo, CA 95466, United States",0.0,"['food', 'point_of_interest', 'establishment']",ChIJWXpK76EOgYAR6RNwe3rhFMY,39.13186899999999,-123.532571,,2
Anderson Valley Chamber of Commerce,"18072 Rays Rd, Philo, CA 95466, USA",0.0,"['point_of_interest', 'establishment']",ChIJnaTcLCoTgYAR3gcfPO9ITYQ,39.065026,-123.443473,,1
Pennyroyal Farm,"14930 CA-128, Boonville, CA 95415, USA",4.8,"['food', 'point_of_interest', 'establishment']",ChIJVVfFaDdqgYARoBiObaTj_oI,39.002392,-123.3625227,,21
Rookie to Gallery,"14300 CA-128, Boonville, CA 95415, USA",5.0,"['art_gallery', 'point_of_interest', 'establishment']",ChIJ2xgGgDlqgYARgX0N9WgeF78,39.0066118,-123.3652913,,3
Lazy Creek Vineyards,"4741 CA-128, Philo, CA 95466, USA",5.0,"['food', 'point_of_interest', 'establishment']",ChIJPR0ZkYINgYARfxV8haK0u0k,39.1072528,-123.4987945,,6
Foursight Wines,"14475 CA-128, Boonville, CA 95415, USA",5.0,"['food', 'point_of_interest', 'establishment']",ChIJjYZvgDxqgYAR8tVeUDRnKH4,39.0047936,-123.3627971,,2
Fine Eye Gallery,"71 Main St, Sutter Creek, CA 95685, USA",5.0,"['art_gallery', 'point_of_interest', 'establishment']",ChIJreFvsFh7moARmOZ_2HWg-Zo,38.39362879999999,-120.8031999,,31
Sutter Creek Visitor Center,"71a Main St, Sutter Creek, CA 95685, USA",5.0,"['travel_agency', 'point_of_interest', 'establishment']",ChIJcSgnu1h7moAR9vr4MtjO4Ls,38.393641,-120.803122,,23
Scott Harvey Wines Tasting Room,"4175, 79 Main St, Sutter Creek, CA 95685, United States",4.9,"['liquor_store', 'store', 'food', 'point_of_interest', 'establishment']",ChIJhwnAzV97moARz3WRSwOnHKs,38.3945497,-120.8033037,,21
Sutter Creek Wine Tasting,"85 Main St, Sutter Creek, CA 95685, USA",4.9,"['liquor_store', 'store', 'food', 'point_of_interest', 'establishment']",ChIJHflzmVh7moAReD-KCz6A4oI,38.3947546,-120.8034387,,19
BellaGrace Vineyards,"73 Main St, Sutter Creek, CA 95685, USA",4.7,"['liquor_store', 'store', 'food', 'point_of_interest', 'establishment']",ChIJcR3urlh7moARKb7y7JprS80,38.3938113,-120.8034416,,16
Sutter Creek Theatre,"44 Main St, Sutter Creek, CA 95685, USA",4.4,"['point_of_interest', 'establishment']",ChIJfzO-SV97moARVVjTEJsfONA,38.3932011,-120.8026924,,9
