attraction,keywords
Japanese Tea Garden,"['golden gate', 'gate park', 'gift shop', 'entrance fee', 'walk around']"
Jedediah Smith Redwoods State Park,"['crescent city', 'stout grove', 'howland hill', 'boy scout', 'must see']"
Julia Pfeiffer Burns State Park,"['big sur', 'mcway falls', 'short walk', 'parking lot', 'must see']"
Knott's Berry Farm,"['knotts scary', 'theme park', 'roller coasters', 'ghost town', 'amusement park']"
LEGOLAND California,"['year old', 'theme park', 'star wars', 'younger kids', 'little ones']"
La Brea Tar Pits and Museum,"['walk around', 'must see', 'years ago', 'ice age', 'well worth']"
La Jolla Cove,"['sea lions', 'must see', 'sea lion', 'seals sea', 'low tide']"
La Jolla Shores Park,"['parking lot', 'sea lions', 'sandy beach', 'dining room', 'family friendly']"
Lands End,"['golden gate', 'gate bridge', 'cliff house', 'sutro baths', 'pacific ocean']"
Legion of Honor,"['golden gate', 'gate bridge', 'permanent collection', 'special exhibit', 'art museum']"
Little Italy,"['farmers market', 'italian food', 'walk around', 'italian restaurants', 'downtown san']"
Living Desert Zoo & Gardens,"['palm springs', 'giraffe feeding', 'animal hospital', 'model train', 'year old']"
Lombard Street,"['cable car', 'must see', 'san fran', 'tourist attraction', 'well worth']"
Los Angeles County Museum of Art,"['tar pits', 'urban lights', 'urban light', 'la brea', 'brea tar']"
Madame Tussauds Hollywood,"['wax museum', 'wax figures', 'gift shop', 'take pictures', 'tickets online']"
Manhattan Beach,"['family friendly', 'people watching', 'volley ball', 'volleyball nets', 'bike path']"
Marin Headlands,"['golden gate', 'gate bridge', 'pacific ocean', 'visitor center', 'point bonita']"
Maritime Museum of San Diego,"['russian submarine', 'russian sub', 'well worth', 'swift boat', 'must see']"
Mendocino Coast Botanical Gardens,"['gift shop', 'fort bragg', 'must see', 'vegetable garden', 'well worth']"
Mission Beach,"['belmont park', 'amusement park', 'roller coaster', 'people watching', 'family friendly']"
Mission San Juan Capistrano,"['audio tour', 'gift shop', 'well worth', 'years ago', 'california missions']"
Monterey Bay,"['sea lions', 'cannery row', 'whale watching', 'mile drive', 'big sur']"
Monterey Bay Aquarium,"['sea otters', 'kelp forest', 'sea life', 'cannery row', 'sea otter']"
Moonstone Beach,"['tide pools', 'sea lions', 'stroll along', 'board walk', 'sea glass']"
Moro Rock,"['national park', 'well worth', 'sequoia national', 'must see', 'parking lot']"
Morro Rock,"['sea otters', 'must see', 'walk around', 'california coast', 'peregrine falcons']"
Mt. Soledad National Veterans Memorial,"['la jolla', 'well worth', 'degree view', 'clear day', 'must see']"
Muir Woods National Monument,"['gift shop', 'redwood trees', 'must see', 'make sure', 'go early']"
Musee Mecanique,"['arcade games', 'fishermans wharf', 'change machines', 'arcade machines', 'video games']"
Natural History Museum of Los Angeles County,"['really enjoyed', 'science center', 'well worth', 'rose garden', 'must see']"
Newport Beach,"['southern california', 'walk around', 'balboa island', 'soft sand', 'pacific ocean']"
Norton Simon Museum,"['sculpture garden', 'van gogh', 'asian art', 'art collection', 'highly recommend']"
Oceanside Pier,"['people fishing', 'people watching', 'must see', 'longest wooden', 'southern california']"
Old Fisherman's Wharf,"['whale watching', 'clam chowder', 'cannery row', 'sea lions', 'tourist trap']"
Old Mission Santa Barbara,"['self guided', 'guided tour', 'gift shop', 'well worth', 'rose garden']"
Old Point Loma Lighthouse,"['light house', 'national monument', 'cabrillo national', 'tide pools', 'well worth']"
Old Sacramento,"['railroad museum', 'walk around', 'walking around', 'candy stores', 'wild west']"
Old Town San Diego,"['mexican food', 'mexican restaurants', 'walk around', 'must see', 'authentic mexican']"
Old Town San Diego State Historic Park,"['mexican food', 'walk around', 'mexican restaurants', 'must see', 'wells fargo']"
Old Town Temecula,"['olive oil', 'farmers market', 'main street', 'antique shops', 'walk around']"
Olvera Street,"['union station', 'mexican food', 'de los', 'downtown la', 'tourist trap']"
Pacific Beach,"['people watching', 'crystal pier', 'people watch', 'la jolla', 'board walk']"
Pacific Coast Highway,"['big sur', 'road trip', 'pismo beach', 'elephant seals', 'bixby bridge']"
Painted Ladies,"['full house', 'alamo square', 'must see', 'victorian houses', 'san fran']"
Palace of Fine Arts Theatre,"['golden gate', 'walk around', 'gate bridge', 'must see', 'walking around']"
Palm Springs Aerial Tramway,"['tram ride', 'well worth', 'hiking trails', 'gift shop', 'san jacinto']"
Palm Springs Air Museum,"['must see', 'answer questions', 'world war', 'well worth', 'gift shop']"
Palm Springs Art Museum,"['sculpture garden', 'gift shop', 'permanent collection', 'native american', 'well worth']"
Petco Park,"['food options', 'baseball game', 'padres game', 'ball game', 'baseball fan']"
